0.000632,-0.000084,0.910900,0.003364,0.039046,-0.046741,0.998138,0.259558,0.114609,0.310692,-0.483473,0.277498,-0.033156,0.230507,0.169577,0.362684,-0.439628,0.303318,-0.080393,0.001555,0.003639,0.109896,1.570800,0.275106,-1.400000,0.180568,0.134295,1.570800,0.217854,-1.400000,0.084651
0.001028,-0.000098,0.910153,0.004826,0.045241,-0.047298,0.997844,0.273231,0.118707,0.323049,-0.492887,0.288893,-0.037343,0.239977,0.178361,0.375741,-0.444557,0.312307,-0.089022,0.003087,0.001215,0.042647,1.570800,0.344861,-1.400000,0.145260,0.090935,1.561366,0.287239,-1.400000,0.035243
0.001070,-0.000092,0.909832,0.005905,0.049750,-0.047504,0.997614,0.282703,0.118236,0.325160,-0.495661,0.291367,-0.038038,0.248567,0.181310,0.376770,-0.446144,0.314288,-0.090363,0.004814,-0.000144,-0.033703,1.570800,0.447834,-1.400000,0.100139,0.045923,1.547842,0.383975,-1.400000,-0.010184
0.001062,-0.000084,0.909689,0.006710,0.053114,-0.047598,0.997431,0.289552,0.117254,0.325876,-0.496715,0.292026,-0.038113,0.255234,0.182887,0.376658,-0.446736,0.314871,-0.090547,0.007849,0.000775,-0.119384,1.570800,0.589055,-1.400000,0.032413,0.000789,1.538901,0.496490,-1.400000,-0.059975
0.001059,-0.000075,0.909612,0.007300,0.055636,-0.047572,0.997290,0.294697,0.116405,0.326173,-0.497337,0.292252,-0.038065,0.260202,0.184026,0.376681,-0.447038,0.315121,-0.090585,0.014569,0.006718,-0.217761,1.570800,0.776373,-1.400000,-0.062265,-0.043562,1.531946,0.618767,-1.400000,-0.110195
0.001051,-0.000077,0.909567,0.007765,0.057524,-0.047416,0.997187,0.298617,0.115658,0.326167,-0.497763,0.292284,-0.037947,0.263820,0.184908,0.376953,-0.447246,0.315261,-0.090565,0.023038,0.024578,-0.332489,1.518026,1.000000,-1.400000,-0.149752,-0.084544,1.532101,0.741529,-1.400000,-0.155486
0.001033,-0.000080,0.909539,0.008127,0.058950,-0.047181,0.997112,0.301636,0.115012,0.325968,-0.498035,0.292186,-0.037794,0.266488,0.185645,0.377399,-0.447300,0.315287,-0.090605,0.009004,0.036045,-0.444635,1.385103,1.000000,-1.400000,-0.177973,-0.122322,1.514664,0.850388,-1.400000,-0.186661
0.001001,-0.000084,0.909520,0.008415,0.060033,-0.046904,0.997058,0.304024,0.114454,0.325660,-0.498265,0.292053,-0.037606,0.268509,0.186266,0.377887,-0.447419,0.315308,-0.090594,-0.002960,0.042121,-0.516496,1.287456,1.000000,-1.400000,-0.181845,-0.156612,1.489551,0.943100,-1.400000,-0.205369
0.000959,-0.000090,0.909506,0.008653,0.060893,-0.046625,0.997017,0.305986,0.113970,0.325321,-0.498442,0.291915,-0.037409,0.270142,0.186807,0.378370,-0.447527,0.315322,-0.090571,-0.010132,0.044061,-0.554830,1.226792,1.000000,-1.400000,-0.176823,-0.184953,1.461510,1.000000,-1.400000,-0.214677
0.000905,-0.000096,0.909495,0.008848,0.061572,-0.046376,0.996985,0.307589,0.113563,0.325010,-0.498601,0.291767,-0.037209,0.271436,0.187271,0.378790,-0.447627,0.315345,-0.090528,-0.011169,0.044167,-0.572342,1.191720,1.000000,-1.400000,-0.170496,-0.204509,1.437693,1.000000,-1.400000,-0.218885
