0.000447,0.000062,1.025399,-0.002357,0.018637,0.012600,0.999744,0.378915,-0.007959,-0.379639,0.556108,-0.217912,-0.258502,0.077032,-0.163740,0.367983,-0.356327,-0.057066,1.541007,-0.011153,1.221759,0.231637,-0.057579,-1.417415,-0.141502,1.361266,-0.078533
0.000757,-0.000075,1.023773,-0.006858,0.023684,0.011538,0.999629,0.392673,-0.004979,-0.405618,0.584545,-0.235843,-0.265738,0.087005,-0.173792,0.381709,-0.372007,-0.067593,1.521957,-0.004141,1.120359,0.244529,-0.009295,-1.360407,-0.201689,1.277927,-0.087529
0.000962,-0.000219,1.023229,-0.010414,0.027536,0.012841,0.999484,0.393066,-0.003113,-0.418427,0.588488,-0.239928,-0.267725,0.094468,-0.179218,0.383735,-0.374387,-0.072528,1.523038,0.017116,1.056484,0.256195,0.033960,-1.329979,-0.271931,1.213323,-0.114644
0.001134,-0.000434,1.023052,-0.013117,0.030751,0.014179,0.999340,0.391556,-0.001791,-0.428048,0.589126,-0.240049,-0.269095,0.100358,-0.183478,0.383520,-0.374279,-0.070785,1.528698,0.044114,1.016791,0.269884,0.069949,-1.305654,-0.353388,1.161078,-0.152245
0.001283,-0.000664,1.022917,-0.015158,0.033142,0.015087,0.999222,0.390457,-0.000580,-0.435682,0.590553,-0.240410,-0.270184,0.104855,-0.186888,0.383692,-0.373980,-0.064807,1.532775,0.075023,0.989521,0.284844,0.101301,-1.282264,-0.436276,1.114367,-0.202212
0.001449,-0.000851,1.022732,-0.016894,0.034898,0.015509,0.999128,0.390121,0.000705,-0.441311,0.592004,-0.242952,-0.270804,0.108505,-0.189681,0.384648,-0.374304,-0.055626,1.534151,0.108280,0.968476,0.300706,0.124882,-1.255728,-0.518359,1.068063,-0.258688
0.001629,-0.000999,1.022541,-0.018457,0.036187,0.015404,0.999056,0.390878,0.002174,-0.445584,0.593693,-0.246181,-0.270544,0.111754,-0.191902,0.385710,-0.374253,-0.040692,1.532970,0.141213,0.950830,0.318897,0.139056,-1.225190,-0.595544,1.020932,-0.317041
0.001828,-0.001077,1.022402,-0.019609,0.037126,0.014425,0.999014,0.392157,0.003680,-0.448397,0.595159,-0.248479,-0.269363,0.114196,-0.193494,0.386341,-0.374514,-0.021233,1.528952,0.175609,0.935265,0.339614,0.143044,-1.191616,-0.660613,0.972780,-0.376594
0.002034,-0.001066,1.022324,-0.020469,0.037829,0.012962,0.998991,0.393835,0.005051,-0.450324,0.596560,-0.249342,-0.267722,0.116026,-0.195082,0.387493,-0.374909,0.002832,1.522076,0.207938,0.921311,0.361885,0.140471,-1.155699,-0.707557,0.926884,-0.435049
0.002226,-0.000971,1.022290,-0.020975,0.038272,0.011453,0.998982,0.395218,0.006151,-0.451717,0.598231,-0.249032,-0.266022,0.117042,-0.196702,0.389293,-0.375194,0.025197,1.511942,0.240665,0.907851,0.383829,0.134654,-1.121288,-0.738306,0.888027,-0.487026
